kapampangan,english
"nung e king gera sibil, makwalta no sa ngeni.","if it had not been for civil war, they would be wealthy now."
"nung mako ka ngeni, siguradu kung mirasan kang trapik.","if you leave now, i'm sure you'll be caught in a traffic jam."
"mesakit ya ing kapitan mi, anya yaku ing menalili kaya king pulung.","our captain got sick, so i attended the meeting in his place."
"kuntoru darakal la reng kakilala mu, lakwas diritak ing panaun mung makikit karela.","the more people you know, the less time you have to see them."
ing burj khalifa ing pekamatas a skyscraper ngeni.,burj khalifa is currently the tallest skyscraper in the world.
atin kung pusa ampong asu. matuling ya ing pusa at maputi ya ing asu.,i have a cat and a dog. the cat is black and the dog is white.
"nung masyadu kang malambat magobrang e magpaynawa, panamdaman mu.","if you work too long without a rest, it begins to tell on you."
emo dapat babasan deng sulat dareng tau nung alang paintulut.,you shouldn't read people's private letters without permission.
"palage ku, ika ing pekamalagung babai king mabilug a yatu.",i think you're the most beautiful woman in the whole wide world.
e ligtas keng babai ing lumwal dili na nung mabengi na.,it is not safe for a girl to go out by herself so late at night.
"atin ku sang ikutang, oneng e raka buring pangabalanan.","i have some questions to ask, but i don't want to bother you now."
bala ku atyu dapat king boston i tom. nananu ya keni?,i thought tom was supposed to be in boston. what's he doing here?
eta kakalingwang e tamu agawa ini nune king saup nang tom.,let's not forget we never could have done this without tom's help.
"uli ning pamisapungan, mibalugse ya palual ing metung karing pasaherus.","as a result of the collision, one of the passengers was thrown out."
migaganaka la reng sabla king milyari king sadyang kampyun.,everyone is anxious to know what has become of the former champion.
"mumuna, pisabyan tala deng eksperimentung gagawan da kareng laboratoryu.","first, let us talk about the experiments conducted in laboratories."
"dinusug neng tom ing pasu king kayli, at mibusni ya ing sikretung pasbul.",tom moved the flower pot to the left and the secret door slid open.
"dinusug neng tom ing pasu king kayli, at mibusni ya ing lihim a pasbul.",tom moved the flower pot to the left and the secret door slid open.
"king kabundukan, maygit singkwenta sentimetrung nyebe ing menabu","in the mountain area, snow has fallen more than fifty centimeters deep."
"migigising kung ala sais ning abak, umpisan ke abak kung atyat ke ing katawan ku, lawen ke ing cellphone ku.",i wake up at six o’clock in the morning and start my day with a quick stretch and then check my phone.
karanun naman. magkasakit kang migigising neng abak aldo-aldo?,that’s early. do you find it hard to wake up that early everyday?
"ali naman, mesane naku. kaybat, daretsu naku banyu ban mandilu.","not really, i’ve gotten used to it. after that, i head straight to the bathroom to shower."
"maralas keng nanamnaman ing oras ku balang abak, lakwas na neng sabadu, at duminggu.","i usually tend to take my time in the mornings, especially on weekends."
"e daka sisyan, panga alas syete y medya ning abak mamako naku ban e ku matawli king mumuna kung klasi.","i don’t blame you, i try to be out of the house by 7:30 to avoid being late."
"masanting ya ita. yaku kasi maralas kung mamaligwa, mamangan ka neng bayu ka mako?","that’s smart, i’m often rushing, do you eat before you leave?"
"wa, magsadya ya i ima kung nasi, ebun ampong batirul kabang gagayak kami.","yes, my mom prepares rice, eggs and hot chocolate while we’re getting ready."
"masanting yang daramdaman ita, deng abak kunaman medyu magulu la, nengkayi, e naku mamangan almusal.","that sounds nice. my mornings are a bit more chaotic, sometimes i skip breakfast entirely."
"ing atsi ku ampo yaku, sabe kaming mamangan bayu kami mako bale.",my older sister and i eat together before heading out.
makapasno ita. lalakaran miyang koya ku ing papunta eskuwela.,that must be comforting. i walk to school with my older brother.
"parewu tamu, nang kasanting istung atin kang abe maglakad, lalu na neng abak.","same here! it’s nice having someone to walk with, especially in the morning."
"wapen, istung atsu naku eskuwela, parewu yamu ing iskedyul: inglis, math ampo pe.","agreed, once i’m at school, it’s the usual schedule: english, math, science, and pe."
"yaku man, kayi kayari naning klasi ku, muli naku ban magpaynawa, kayari nanita magrebyu ku kayi gawan ko deng katuldwanan ku.","mine too. and after classes, i go home, rest, then start reviewing and doing assignments."
"madisiplina ka, susubukan ku naman magaral, pero malilibang ku.","you’re disciplined. i try to study too, but sometimes i get distracted."
"ikwa daka keta, kayari manigaral. sosopan ke i ma ku keng apunan","i get that. after studying, i help my mom with dinner."
"keng bale mi naman, sabe-sabe kamin ngan mamangan.","in our house, we all eat together"
"parewu kekami, ini ing metung a peka paburitu kung keng aldo.",same with us. it’s one of my favorite parts of the day.
kaybat apunan? atin ka pang oras para kekang sarili?,and after dinner? do you have free time?
"ditak. mamasa kung libru, manalbe, o mamyalung ku kayabe deng kaluguran ku online.","a bit, i read, watch, or play games with friends online."
"masanting ya ing aldo mu ah, subukan keng tukyan ing rutina mu.",that is a good day. i might try setting up a routine like yours.
mayap a abak! aku y [name]. makuswelu kung mikit-ikit tamu kening kekatang balayan.,good morning! i’m [name]. it’s really great to meet you here at this community event.
mayap a abak! matula kung akilala daka. bayu ka ba keni?,good morning! nice to meet you too. are you new around here?
"wa, kalilipat ku pa mu keting kasumangid bale. aisip kung dapat magumpisa kung magpakilala kareng taung maralas ku kanyang akakit.","yeah, i just moved into the neighborhood recently. i figured i should start introducing myself to the people i’ll probably see often."
masanting yang ideya yan. deng tau keti maganaka la.,that’s a great idea. people around here are pretty nice.
"susubukan kung tumiman, lumawe karing mata da, ampon mangutang nung makananu ya ing aldo ning metung a tau nung akit ke keng mumunang besis.","i always try to smile, make eye contact, and ask how someone’s day has been when i meet them for the first time."
"at ing magalang a pamanatu keng metung a tau, kalupa ning pamangamanung ""mayap a gatpanapun"" potang lulub la keng kwartu.","and politely greeting someone always feels nice, like saying “good afternoon” when they walk into a room."
"gyang aku! nung atin kung bisita, sisiguraduan kung saganan ku la keng pasbul at dinan kung nanu mang inuman o kanan.","same here! when i have guests over, i make sure to welcome them at the door and offer them something to drink or eat."
masanting yan. makanyan ku naman gagawan. abse ke mu naman ing “salamat” kaybat keng akilala ing metung a tau.,that’s good. i do the same. i also make it a habit to say “thank you” after meeting someone.
"tutu pin, lakwas na kareng mas pormal a sitwasyun, kalupa da reng pamitipun. gagamit ka namang pormal a pamag mananu?","true, especially in more formal situations, like meetings. do you use formal greetings too?"
"wa. king propesyunal a lugal, mas buri kung sasabyan ing “mayap a abak, sir’ o kaya naman “mayap a gatpanapun, ma’am.”","yes. in professional settings, i prefer saying things like “good morning, sir” or “good afternoon, ma’am.”."
"tutu pin. potang magpakilala ku keng metung a pamitipun, malino kung sasabyan ing lagyu ku ampon pamalino ku ing kanakung tungkulan o bakit atyu ku karin.","it really does. when i introduce myself in a meeting, i clearly say my name and briefly explain my role or why i’m there."
"at king eskwela naman, maralas ku lang atwan deng mestra ku balang abak. iti ing paralan ku para ipakit ing respetu.","and at school, i always made sure to greet my teachers every morning. it was my way of showing respect."
masanting ita! at nanu ing gagawan mu nung akalingwan me ing lagyu ning metung a tau kaybat meng akatagmu?,that’s great! and what do you do if you forget someone’s name after meeting them?
ing tutu mu? kutnangan ku la mung pasibayu. kaybat subukan kung ganakan keng tutuking panaun.,honestly? i just ask again politely. then i really try to remember it next time.
misan pakilala ku la reng kakaluguran ku keng metung at metung kareng pamitipun ban lakwas lang maging komportabli. gagawan mu naman ita?,i sometimes introduce my friends to one another at events to help them feel more comfortable. do you do that too?
"wa. at nung masalese ing pamipakilala, keraklan mililibe keng numeru ning teleponu o social media handles ban manatili kung makipag-ugnayan.","yes. and if the introduction goes well, i usually exchange phone numbers or social media handles to stay in touch."
"mayap yan! kayi pala, neng manatu ka kareng matwa keng pamilya mu, atin kang gagawang aliwa?","that’s nice! by the way, when you greet older people in your family, do you do anything different?"
"wa, tiru da kung dukung ditak o siklod neng mamye galang kareng makatua, lalu na kareng reunion o neng holidays.","yeah, i was taught to bow a little or nod when greeting elders, especially at reunions or during the holidays."
aku man. metung yang simpleng bage ban plato ing respetu. parati ku la namang kukomustan reng pengari da reng kakaluguran ku neng mamasyal ku karela.,me too. it’s a simple way to show respect. i also always greet my friends’ parents when i visit them.
masaya kung makitalamitam keka. malaus ka keti king balayan!,i enjoyed talking to you. welcome to the neighborhood!
"ing pamilya ku malapit kami king metung at metung. agyang atin kami ngan gagawan, siguraduan ming atin kaming oras ban abe-abe kaming mangan apunan.","my family’s really close with one another. no matter how busy we get, we always make time to have dinner together."
"ikami mu naman. agyang makananu ya kagulu ing aldo, lukluk kami ngan at mangamanu kabang mamangan apunan.","we’re like that too. no matter how chaotic the day gets, we all sit down and talk over dinner."
"atin kung adwang kapatad a lalaki at metung a babai, mipapate kami misan dapot potang atin linwal a seryusung bage, saupan mi ya ing balang metung.","i have two brothers and a sister, we fight sometimes but when something serious comes up, we help each other."
"gyang aku. atin kung atlung kapatad at mipapate kami misan. dapot nung ating importanti, parati kaming atyu para keng balang metung.","same here. i have three siblings, and we bicker sometimes. but when it matters, we always show up for one another."
"at deng pengari ku, miyasawa nalang dakal a banwa at angga man ngeni mikalugud la pa. mag-movie date la pa rin.","and my parents, they’ve been married for over twenty years and they’re still so sweet. they still go on movie dates."
"para kaku, ing weekend ing paborito ku. papasyalan mi la reng apu ku, at mitipun la reng buung pamilya mi. menasa atin pamangan, tula, ampon kwentuan.","for me, weekends are my favorite. we visit my grandparents, and the whole family gathers. there’s always food, laughter, and stories"
"oh, parehu tamu! deng pamitipun mi masigla dapot masaya. deng mapilan kareng makatulang istorya lulwal la kanita.","oh, same! our gatherings are loud but fun. some of the funniest stories come out then."
ala nang masanting pa nung ganakan itang panaung milabas at mipapangayli keng mabilug a bengi.,there’s nothing better than reliving those old memories and laughing all night.
"meragul kung malapit kareng pisan ku. kalupa ming mikakapatad a mipamuklat sikretu, mamialung, at miyabe-abe pagselebran ing aldo ning kebaitan.","i grew up really close to my cousins. we were like siblings sharing secrets, playing games, and celebrating birthdays together."
ikami naman mu makanyan kami. deng pinsan ku ampong aku atin kaming pamiyabe a anting mikakaluguran kami kesa keng kamag-anak.,we are like that too. my cousins and i have a bond that feels more like best friends than relatives.
"neng atin kung panamdaman a malungkut o e ku siguradu, pupuntalan ke i ima ku. ing kayang payul parati yang makasaup kanaku ban sumanting ing pakiramdam ku.","whenever i’m feeling down or unsure, i go to my mom. her advice always helps me feel better."
gyang aku. deng amanu nang ima ku parati lang kailangan kung damdaman. balamu balu na.,same here. my mom’s words are always what i need to hear. it’s like she just knows.
parati ming sisikapan a makipag-ugnayan kareng kamag-anak a marayu. agyang makuyad mung awus dakal ya kabaldugan.,we always try to keep in touch with relatives who live far. even a short call means a lot.
masanting a galo ita. maralas kaming makipag-video call ban manatili ing pamiyabe mi.,that’s a great habit. we always do video calls to keep the bond strong.
i tatang ku metung ya kareng role model ku. dakal ya tiru kaku tungkul keng pamagsumikap at pamagkumbaba.,my dad’s one of my role models. he’s taught me a lot about hard work and being humble.
"ing kanaku mu rin. deng aral na keng bie menatili la kaku, lalu na patungkul ban maging maganaka ampon responsabli.","mine too. his life lessons have stuck with me, especially about being kind and responsible."
"potang sobrang stress ku, ing atsi ku maralas nang apansinan. e ya mu magsalita, gawa naku mung tsa o nanu man.","when i’m super stressed, my older sister always notices. she won’t say much—she just makes me tea or something."
makanyan ya naman ing koya ku. tahimik ya mung lukluk king siping ku nung kailangan ku.,my older brother’s the same. he’ll just sit with me quietly when i need it.
"ing tutu man ing pamilya ku ing meging maragul a parte nung ninu ku ngeni, nung makananu kung pakiyabayan deng aliwa, at nung makananu kung resolban ing problema.","i honestly think my family's shaped a big part of who i am—how i treat others, how i handle problems."
"agyang ali kami maralas mikakasundu, balu ku agyu ku lang asahan.","even if we don’t always agree, i know i can rely on them."
masala at mapali ing aldo ngeni. perpektu para keng pamagbisikleta o piknik.,it’s sunny and warm today. perfect for biking or a picnic.
"wa, masanting ing panaun ban lumwal at magsaya.","yeah, great weather to be outside and have fun."
maralas kung magdalang payung nung mauran ing panaun uling ing biglang uran karaniwan ya mu keng lugar mi.,i always carry an umbrella during the rainy season because sudden downpours are very common in our area.
"neng masikan ing uran, manatili kami mu kilub at manalbe kareng patak ning uran keng bubungan.","when it rains hard, we just stay in and watch the raindrops on the roof."
"masikan ing angin nabengi, mesira la ding mapilan a sanga ning dutung!","the wind last night was strong, it broke some tree branches!"
kekami rin! deng bulung atyu la keng dalan.,ours too! leaves were everywhere on the street.
"neng panaun ning kaleldo, ing dikut maging kayumanggi la ampo ing egana-gana maalikabuk la.","during the dry season, the grass turns brown and everything gets dusty."
"wa, anyang ditak mu ing uran, adyang ing gabun lupa yang mapagal.","yeah, with barely any rain, even the soil looks tired."
"napun, ating bagyu. atin masikan a duldul ampo kildap keng mabilug a bengi.","yesterday, we had a thunderstorm. there was loud thunder and flashing lights throughout the night."
balu ku! ing banua makatakut ya pero metung yang bage a makapagmulala.,i know! the sky looked scary but kind of amazing too.
buri ku nung makananu yang mas marimla ing angin balang abak.,i like how the air feels cooler every morning.
"lakwas na nung e pa matas ing aldo, presku ya.","especially when the sun hasn’t risen fully yet, it’s refreshing."
"king bale, magrecycle kaming bote ampong papel ban makasaup king kapaligiran.","at home, we recycle bottles and paper to help the environment."
i kami man. deng mangalating bage atin lang maragul a epektu.,us too. little things really make a big difference.
"deng tau keni mananam lang dutung neng labor day, makasaup ya keng climate change.","people here plant trees on labor day, it helps with climate change."
"masanting yan. ing dutung mamiye lang salilungan, a kailangan tamu tagana.","that’s great. trees also give shade, which we really need."
ing polusyun ibat kareng saken ampo pabrika kakatmuan ne ing angin ning makapinsalang gas.,pollution from cars and factories fills the air with harmful gases.
mas malala ya kareng mangaragul a balen. mas masakit mangisnawa minsan.,it gets worse in big cities. it’s harder to breathe sometimes.
"malagad mu ing mamayun keni, pero magsane kaming safety drills.","earthquakes are rare here, but we still practice safety drills."
maralas kaming mamulut basura ban makasaup keng pamaglingap keng kapaligiran,we always pick up trash to help take care of the environment.
"balang abak, mamangan kung nasi, pritung ebun, ampo mapaling tsokolati para keng almusal.","every morning, i eat rice, fried egg, and hot chocolate for breakfast."
"king pagtuan, maralas kung magdalang bakal ibat king bale kalupa ning arobu ampong gule.","for lunch, i usually bring food from home like adobo and veggies."
aku rin. i ima ku parati yang magsadiang bakal para kaku.,me too. my mother always prepares packed meals for me.
"balang byernis, ing pamilya ku mamangan kami king paboritu ming pipanganan para makapag-paynawa kayari ni makabang paruminggu.","on fridays, my family eats out at our favorite restaurant to relax after a long week."
"masaya ya ita. makanyan mu naman ing gagawan mi, lalu na nung maging stressful ing obra.","that sounds fun. we do the same thing, especially after work gets stressful."
"kareng espesyal a okasyun, maglutu kaming lechon, pancit, ampong kare-kare.","during special occasions, we cook lechon, pancit, and kare-kare."
"misan, susubukan ku la deng bayung recipe kalupa ning pasta ampo sushi. masaya ing mag experiment.","sometimes, i try out new recipes like pasta and sushi. it's fun experimenting."
gagawan ku naman ita. bayu ku pa mu abalu nung makananu yang gawan ing ramen.,i’ve been doing that too. i recently learned how to make ramen.
"at potang lulwal kami neng gatpanapun, pane kung pupunta kareng street food kalupa ning fish balls, kwek-kwek, o isaw.","and when we’re out in the afternoon, i always go for street food—fish balls, kwek-kwek, or isaw."
"aku man. mura la, manyaman la, at magpaganaka la kaku keng high school.","me too! they’re cheap, tasty, and remind me of high school."
tiru na kung ma ku nung makananu maglutung sigang. buri kung kakanan iti neng mauran.,my mom taught me how to cook sinigang. i love eating it on rainy days.
alang maka agwanta keng pali ning silyo ning sigang potang makulimlim ya ing kilwal.,nothing beats a warm bowl of sinigang when it’s gloomy out.
maralas kaming magnipun prutas kalupa da reng mangga ampo sagin anting pagmayumu.,we always keep fruits like mangoes and bananas for dessert.
"wa, mag stock kami naman. metung yang masustansyang alternatibu.","yeah, we stock up too. it’s a healthy alternative."
"neng sabadu-duminggu, aku ampo reng kapatad ku maglutu kaming cookies ampo cakes. manyaman ing bawu ning bale.","on weekends, my siblings and i bake cookies and cakes. the house smells amazing."
"keng bale mi, maralas kaming maglutu brownies ampo kakanan mi lang bayu ibat keng oven.","in our home, we usually bake brownies and eat them fresh from the oven."
miminum kung dakal a danum aldo-aldo ban manatili kung masikan.,i drink a lot of water everyday to stay healthy.
mayap a gawi yan! susubukan ku naman pangilagan ing soft drinks.,that’s a good habit! i try to skip soft drinks too.
"maralas kaming pupunta palengki para kareng sagiwang gule, karni, ampo seafood.","we go to the market a lot for fresh veggies, meat, and seafood."
i kami mu rin. ala nang masanting pa kareng sagiwang sangkap neng maglutu.,us too. nothing beats fresh ingredients when cooking.
"balang abak, sake kung dyip papunta eskwela. parati kung mamako maranun ban pangilagan ing traffic.","every morning, i ride the jeepney to school. i always leave early to avoid traffic."
diyang aku. mebyasa kung mako mas maranun o mitauli ku.,same here. i’ve learned to leave earlier or i’ll end up late.
"megplanu kami keng bakasyon ning pamilya mi anyang milabas a bulan, meg-book kaming flights ampo hotel maranun.","we planned our family vacation months ago, booked our flights and hotel early."
mayap yan! gewa mi ya naman ita keng milabas a summer. mekaligtas kami keng dakal a stress.,nice! we did that too last summer. it saved us a lot of stress.
maralas maglakad ku mu papunta keng grocery. mas mura ya kesa keng magmaneho.,i usually just walk to the grocery store. it’s cheaper than driving.
oyta ing gagawan ku potang e ku mamalagwa. masanting mu naman para keng kapaligiran.,that’s what i do when i’m not in a rush. good for the environment too.
"neng mauran, i tatang ku ing magdala kanaku keng eskwela uling matalusad la reng dalan","when it rains, my dad drives me to school since the streets get slippery"
ing kanakung tatang gagawan na naman ita. ing pamagkomyut nung e masanting ing panaun neng misan delikadu ya.,my dad does that too. commuting during bad weather is sometimes dangerous.
"nung munta kami kareng aliwang balen, maralas kaming sasake keng tren. mabilis ya at atin yang masanting a babatyawan.","when we travel to other cities, we usually take the train. it’s fast and has a scenic view."
diyang aku. buri kung lalawen ing marangle keng awang.,same here. i love watching the countryside through the window.
magbisikleta ku keng baryu mi. masaya yang aktibidad at makasaup ya kanaku ban maging aktibo.,i bike around our village. it’s fun and helps me stay active.
buri ku naman ing magbisikleta. iti ing magpakimut kanaku kabang gagawan ku ing bage-bage.,i like biking too. it gets me moving while getting things done.
maralas kaming maka seatbelt keng saken ampo helmet keng motor.,we always wear seatbelts in the car and helmets on the motorbike.
"ing kaligtasan mumuna, parati. agyang makuyad a pamaglakbe malyari yang maging mapanganib.","safety first, always. even short rides can be risky."
"ing pamanyulagpo masaya ya, lalu na keng mumunang besis. ing pamag batyo keng awang makapagmulala ya.","flying is fun, especially the first time. looking out the window feels amazing."
wa! makalawe ku mu keng awang inyang mumunang besis kung sinulapo.,yes! i was only looking at the window the first time i flew.
magagamit la reng tricycle keng pamaglakbe kareng malapit a lugar.,tricycles are super useful for travelling to nearby places.
"wa, lalu na kareng lugal a limitadu ing transportasyun.","yeah, especially in places with limited transport options."
"neng bengi, mabagal kaming magmaneho, makabuklat la reng sulu mi, at manatili kaming alertu.","at night, we drive slowly, keep our headlights on, and stay alert."
mas masanting ing ligtas kesa keng magsisi. ing pamagmaneho neng bengi malyari yang maging masakit.,better safe than sorry. night driving can be tricky.
"megshopping ku napun, oneng asna kamal ngan.","i went shopping yesterday, but everything was so expensive."
asubukan mu nang mengutang bawas?,did you try asking for a discount?
"wa, sabi ku, “pweding dinan bawas nung marakal ku salwan?”","yeah, i asked, ""can you give me a discount if i buy a lot?"""
sinabi da apin na ita ing presyu.,they said the prices were already final.
"kasakit na, parati ku kasing lalawe presyu online bayu sali.",that’s frustrating. i usually check prices online before buying.
yaku rin. misan mas mura pa online kesa pisalwanan.,same here. sometimes online is even cheaper than stores.
tutu. tatanggap la namang gcash?,true. do they at least accept gcash?
"wa, tanggap lang gcash ampon credit cards.","yes, they accept both gcash and credit cards."
"awa, misan akalingwan ke ing pitaka ku anya e ku mekapamayad counter.","that’s good. one time, i forgot my wallet so i couldn't pay at the counter."
aru! peburen daka ban mamabayad kabalik?,oh no! did they let you return later to pay?
"wa, oneng makarine. mas masanting ing ligtas kesa keng magsisi.","yeah, but it was embarrassing. better safe than sorry."
mekatadwa ka mesingil keng metung a bage?,have you ever been charged twice for the same item?
"wa! yaku mu naman anyang milabas a bulan, mengutang kung refund.","yes! it happened to me last month, i had to ask for a refund."
kalambat da reng refund e.,"refunds can take so long, though."
inya pin mas buri kung gumamit cash patse malyari.,that’s why i prefer using cash when possible.
"patse atin kang loyalty card, mamye lang puntos ustung sali ka.","but if you use a loyalty card, you get points for every purchase."
tutu. menipun kung puntus para keng libri.,that’s true. i actually saved up enough points to get a free item.
"maswerti ka! kanita, apitna ke ing sweldu ku kareng gadyet.","lucky you! last time, i spent almost half my paycheck on gadgets."
susubukan ku ping mamadyet ngeni oneng e na milyari.,i’m trying to stick to a budget this month so that doesn’t happen again.
makanyan ku naman. masanting nang magplanu kesa magisan ing pera.,same here. better to plan than run out of money.
o! komusta naka?,hey! how have you been?
"mayap kumu, okupadu mu keng obra.","i’ve been good, just busy with work."
awa yaku man. lilibut ka ata?,"yeah, same here. have you been going out lately?"
"e masyadu, atyu kumu maralas bale.","not much, i’ve mostly stayed at home."
"awa, misan mas masanting magrelax.",makes sense. sometimes it’s nice to just relax.
tutu! akayabe mu la pa reng kaluguran ta kanita?,true! do you still hang out with our old friends?
"wa, mikit kami balang kadwang duminggu.","yes, we meet up every other weekend."
awa santing! amiss kula reng pamitipun.,that’s great! i miss those small gatherings.
tuki ka keng tutuki!,you should join us next time!
buri ke ita. mumunta ka kareng cafe kanita?,i’d love to. do you still go to the same café?
"wa, itang malapit king park.","yes, the one near the park."
buri ku keng lugal ayta.,i like that place.
taimik karin at manyaman ing kape.,it’s quiet and the coffee’s really good.
asubukan mu ne ing bayu dang menu?,have you tried their new menu yet?
"ali pa, metung mu ing oorderan ku keta.","not yet, i always order the same thing."
"yaku rin, e ku maglibe order.","same here, i never change my order."
lumibut tamu keng tutuking duminggu.,we should go together next week.
kasaya na nita! nanung aldo ing magsilbi ka?,that sounds fun! what day works for you?
sabadu ing masanting.,saturday would be perfect.
"awa, pabalwan daka keng detalye.","okay, i’ll message you the details."
komusta na ka?,how are you?
nokarin ka makatuknang?,where do you live?
"ot kaburi mung panigaralan ing spanish ngeni, kaybat dareng milabas a banwa?","why are you interested in learning spanish now, after all these years?"
kapilan mu araramdaman a masipag ka neng abak o neng bengi na?,when do you usually feel the most productive—morning or late at night?
ninung menuru keka nung makananung maglutung manyaman a pasta?,who taught you how to cook such delicious pasta?
nanung klasing libru ing buri mung babasan istung ala kang gagawan?,what kind of books do you enjoy reading in your free time?
nokaring pipanganan ing pupuntalan mu neng bisa kang mangang maparas a pamangan?,which restaurant do you usually go to when you're craving something spicy?
makananu meng sasamasan ing oras mu ban maging yang masalese agyang okupadu ka iskedyul?,how do you manage to stay so organized with such a busy schedule?
ot ali ka minta keng pamitipun napun? masalese na ngan?,why didn’t you attend the meeting yesterday? everything okay?
"nokarin ka meragul, ampon makananu ya ing kayanakan mu kanita?","where did you grow up, and how was your childhood there?"
nanung peka buri mung gagawan neng bisa kang mag-relax kaybat na ning makaba at mapagal a aldo?,"what’s your favorite way to unwind after a long, stressful day?"
ninu ing taung memyeng marakal a inspirasyun king kekang bie?,who's someone that has inspired you a lot in your life?
kapilan ka megumpisang tinukup gitara ampon makananu kalwat bayu ka mebyasa?,"when did you start learning to play the guitar, and how long did it take?"
"para keka, bakit dakal la reng tau a magkasakit sasamasan ing karelang oras?",why do you think people struggle with time management so much?
makananu ka karalas mamunduk ampong nokarin ya ing pekaburi mung dadalanan?,"how often do you go hiking, and where’s your favorite trail?"
nanung pelikula ing arekomenda mu a masayang alben king bengi?,which movie would you recommend for a fun night watch?
ninu ing taung tauli mung pakisabyan bayu ka matudtud nabengi?,who was the last person you talked to before going to sleep last night?
nanu la reng bage a magpasikan keka ban akabyusan mu la reng masasakit a aldo?,what motivates you to keep pushing through hard days?
nokarin ku kaya manakit pekamalapit a botika a makabuklat pa king oras ayni?,where can i find the nearest pharmacy that's still open at this hour?
kapilan ka tauling sinubuk bayung bage?,when was the last time you tried something completely new?
atyu naka keng mall?,are you already at the mall?
"ali pa, maglakad ku ibat keng bus stop ngeni.","not yet, i’m walking from the bus stop now."
sanung pasbul ing gagamitan mu?,which entrance are you going to use?
"ita keng malapit food court, mas malapit ya.","the one near the food court, it’s closer."
"sige, panenayan daka keng escalator.","okay, i’ll wait for you at the escalator."
ibat ka keng bandang pangulu o bandang mauli?,are you coming from the north side or south side?
"ibat ku keng mauli, malala ya ing trapik.","from the south side, traffic was bad."
akikit me ing fountain keng libutad?,do you see the fountain in the center?
"wa, limpasan ku ne ngeni.","yes, i’m walking past it now."
"likoru ka king wanan kaybat ning fountain, atyu ya ing escalator karin.","turn right after the fountain, the escalator is there."
"ikwa ku ne, mukyat naku kanyan.","got it, i’m heading up now."
atsu na ka pin keng kadwang palapag?,are you on the second floor already?
"wa, makatuknang ku malapit keng bookstore.","yes, i’m standing near the bookstore."
"sige, lumakad naku papunta ken.","okay, i’ll walk towards you."
akikit mu kung menibat keng kayli?,can you see me coming from the left side?
"ali pa, lalawen kula reng tau.","not yet, i’m checking the crowd."
pepepe ku ngeni ban akakit mu ku.,i’m waving my hand now so you can see me.
ayta pala ika! lumapit naku.,there you are! i’ll move closer.
lumakad tamu diretsu keng food court.,let’s walk straight to the food court.
atyu ya mu keng wanan.,it’s just over to the right.
malyari meng pakidwag kanaku ing charger keng lamesa? kaylangan keng i-charge ing selpon ku ngeni.,could you pass me the charger on the table? i need to charge my phone right now.
"o sige, oini na. pakisabi mu namu kaku nung atin ka pang kailangan.","sure, here you go. let me know if you need anything else."
"e me kakalingwang isara ing pasbul kalako mu, lalu na nung alang tau keng bale.","don’t forget to lock the door when you leave, especially if no one’s home."
"uwa, siguraduan kung maka sara ya, salamat keng paganaka",got it. i’ll make sure to lock it. thanks for the reminder.
malyari mukung sopan ipanik deng bag areni? milalu la kasi mabayat para kanaku.,can you help me carry these bags upstairs? they’re a bit heavy for me alone.
alang problema. ibwat ko deng aliwa ban mas maligwa keka.,no problem. i’ll carry some so it’s easier for you.
malyari meng i-email ing report kanaku bayu miras alas singku? bantang a-review ke pa bayu ing pulung.,please email me the report before 5 pm so i can review it before the meeting.
"awa sige, ibie ke keka bayu ita. sana makasaup ya keka king pulung.","sure, i’ll send it before then. hope it helps during the meeting."
"panayan muku keng arap, kwanan kemu ing jacket ku kayi lumwal nku.",wait for me at the entrance—i’ll just grab my jacket and be right out.
"e ka mamaligwa, panenayan daka keni",no rush. i’ll wait here.
malyari meng palino pasibayu ing sinabi mu? ali ke kasi ikwa nung nanung buri mung sabyan.,could you explain what you said again? i didn’t really understand what you meant.
o sige. sabyan keng mas malino keka ngeni,of course. i’ll make it clearer this time.
tuknang kapa mag-scroll tsaka ka makiramdam. atin kung sabyang maulaga.,stop scrolling for a moment and listen.i need to tell you something important
"ay, panupaya. makiramdam naku, nanu ya ing sabyan mu?","oh, sorry. i’m listening now. what is it?"
"malyaring bagalan me ing pamagasalita mu ban antindyan daka, ali ke mumunang lengguwahe ing inglis.",please speak slowly so i can understand. english isn’t my first language.
"ah, uwa.. bagalan kuna. pasensya naka ne.","ah, got it. i’ll slow down, sorry about that."
"paganaka mu kanaku a tugtugan ko deng tanaman bukas abak, pota langi no naman.","remind me to water the plants tomorrow morning, or they’ll dry out again."
alang problema. mumunang sabyan ku keka ita kinabukasan,no worries. i’ll remind you first thing tomorrow.
"sabyan mu ing tutu kanaku, mas buri kung damdaman direkta ing tutu.",just be honest with me. i’d rather hear the truth directly.
"respetwan ku ita, ala kung sasalikut keka.",i respect that. i won’t keep anything from you.
pasalamat ku king dakal a suportang tinggap ku kabang daralan kung masakit a panaun.,i feel incredibly grateful for all the support during those hard times.
"inarap meng masalese, akakit ke.","you handled it well, it really shows."
"ing pelikulang ayta, e ke asahan, ginaga ku pin.","that movie caught me off guard,i actually cried."
"yaku man, lakwas yang malungkut pala ita keng asahan ku.",same here. it was more emotional than i expected
mabubusit ku ustung deng aliwang tau e la makiramdam bayu la salangsang.,it frustrates me when people don’t listen before jumping in.
